('fs-oth-0005430', '1.1.36', 'would'),
('fs-oth-0006500', '1.1.43', 'would'),
('fs-oth-0009380', '1.1.63', 'would'),
('fs-oth-0010420', '1.1.70', 'will'),
('fs-oth-0015070', '1.1.100', 'will'),
('fs-oth-0018090', '1.1.122', 'will'),
('fs-oth-0020010', '1.1.135', 'will'),
('fs-oth-0022100', '1.1.147', 'would'),
('fs-oth-0026810', '1.1.177', 'will'),
('fs-oth-0028010', '1.1.182', 'would'),
('fs-oth-0030090', '1.1.198', 'would'),
('fs-oth-0031530', '1.1.206', 'will'),
('fs-oth-0034110', '1.2.16', 'will'),
('fs-oth-0034520', '1.2.19', 'Will'),
('fs-oth-0036070', '1.2.29', 'would'),
('fs-oth-0039940', '1.2.57', 'will'),
('fs-oth-0041050', '1.2.66', 'will'),
('fs-oth-0042530', '1.2.76', 'will'),
('fs-oth-0044020', '1.2.88', 'Would'),
('fs-oth-0046650', '1.2.104', 'will'),
('fs-oth-0064740', '1.3.106', 'will'),
('fs-oth-0066400', '1.3.118', 'will'),
('fs-oth-0073530', '1.3.170', 'Would'),
('fs-oth-0073710', '1.3.171', 'would'),
('fs-oth-0074650', '1.3.177', 'would'),
('fs-oth-0076890', '1.3.192', 'would'),
('fs-oth-0077940', '1.3.197', 'would'),
('fs-oth-0081880', '1.3.225', 'would'),
('fs-oth-0082320', '1.3.227', 'would'),
('fs-oth-0089150', '1.3.274', 'will'),
('fs-oth-0089330', '1.3.276', 'would'),
('fs-oth-0090110', '1.3.282', 'would'),
('fs-oth-0093280', '1.3.302', 'will'),
('fs-oth-0099130', '1.3.345', 'will'),
('fs-oth-0099410', '1.3.347', 'will'),
('fs-oth-0101000', '1.3.356', 'would'),
('fs-oth-0101050', '1.3.357', 'would'),
('fs-oth-0101270', '1.3.358', 'would'),
('fs-oth-0102360', '1.3.363', 'wills'),
('fs-oth-0102510', '1.3.363', 'will'),
('fs-oth-0103420', '1.3.368', 'wills'),
('fs-oth-0103910', '1.3.371', 'would'),
('fs-oth-0104970', '1.3.378', 'will'),
('fs-oth-0107250', '1.3.390', 'wills'),
('fs-oth-0108030', '1.3.394', 'will'),
('fs-oth-0108350', '1.3.395', 'wilt'),
('fs-oth-0109990', '1.3.405', 'Wilt'),
('fs-oth-0111610', '1.3.413', 'will'),
('fs-oth-0111820', '1.3.414', 'will'),
