('fs-rom-0006930', '1.1.28', 'must'),
('fs-rom-0025940', '1.1.144', 'must'),
('fs-rom-0050550', '1.2.45', 'must'),
('fs-rom-0061410', '1.3.9', 'must'),
('fs-rom-0078580', '1.3.109', 'must'),
('fs-rom-0081600', '1.4.13', 'must'),
('fs-rom-0114090', '1.5.96', 'must'),
('fs-rom-0117140', '1.5.113', 'must'),
('fs-rom-0124590', '1.5.155', 'must'),
('fs-rom-0126530', '2.CHO.7', 'must'),
('fs-rom-0130740', '2.1.19', 'must'),
('fs-rom-0153230', '2.2.107', 'must'),
('fs-rom-0169800', '2.3.7', 'must'),
('fs-rom-0178500', '2.3.64', 'must'),
('fs-rom-0208600', '2.4.156', 'must'),
('fs-rom-0215120', '2.4.194', 'Must'),
('fs-rom-0233130', '2.5.77', 'must'),
('fs-rom-0233360', '2.5.79', 'Must'),
('fs-rom-0262620', '3.1.125', 'must'),
('fs-rom-0264000', '3.1.134', 'must'),
('fs-rom-0272880', '3.1.189', 'must'),
('fs-rom-0273010', '3.1.190', 'must'),
('fs-rom-0306810', '3.3.43', 'must'),
('fs-rom-0338880', '3.5.11', 'must'),
('fs-rom-0344860', '3.5.44', 'must'),
('fs-rom-0358200', '3.5.123', 'must'),
('fs-rom-0376280', '3.5.228', 'must'),
('fs-rom-0384330', '4.1.20', 'must'),
('fs-rom-0384500', '4.1.21', 'must'),
('fs-rom-0388220', '4.1.41', 'must'),
('fs-rom-0389730', '4.1.49', 'must'),
('fs-rom-0415210', '4.3.20', 'must'),
('fs-rom-0429730', '4.5.11', 'must'),
('fs-rom-0430610', '4.5.16', 'must'),
('fs-rom-0461990', '5.1.57', 'must'),
('fs-rom-0467720', '5.1.91', 'must'),
('fs-rom-0471870', '5.2.24', 'must'),
('fs-rom-0478740', '5.3.31', 'must'),
('fs-rom-0483210', '5.3.57', 'must'),
('fs-rom-0483280', '5.3.58', 'must'),
