('fs-rom-0004500', '1.1.13', 'will'),
('fs-rom-0005360', '1.1.18', 'will'),
('fs-rom-0005930', '1.1.22', 'will'),
('fs-rom-0006200', '1.1.23', 'will'),
('fs-rom-0006340', '1.1.24', 'will'),
('fs-rom-0006880', '1.1.27', 'wilt'),
('fs-rom-0008260', '1.1.34', 'will'),
('fs-rom-0008910', '1.1.41', 'will'),
('fs-rom-0009320', '1.1.43', 'will'),
('fs-rom-0016530', '1.1.85', 'Will'),
('fs-rom-0027040', '1.1.151', 'will'),
('fs-rom-0028120', '1.1.158', 'would'),
('fs-rom-0028700', '1.1.161', 'would'),
('fs-rom-0031070', '1.1.177', 'will'),
('fs-rom-0033580', '1.1.194', 'wilt'),
('fs-rom-0035080', '1.1.203', 'will'),
('fs-rom-0036440', '1.1.210', 'will'),
('fs-rom-0038150', '1.1.220', 'will'),
('fs-rom-0039090', '1.1.225', 'will'),
('fs-rom-0045720', '1.2.17', 'will'),
('fs-rom-0051760', '1.2.52', 'will'),
('fs-rom-0057340', '1.2.94', 'will'),
('fs-rom-0059150', '1.2.105', 'will'),
('fs-rom-0061160', '1.3.7', 'will'),
('fs-rom-0067730', '1.3.46', 'wilt'),
('fs-rom-0067890', '1.3.47', 'Wilt'),
('fs-rom-0068720', '1.3.51', 'Wilt'),
('fs-rom-0070340', '1.3.61', 'wilt'),
('fs-rom-0070500', '1.3.62', 'Wilt'),
('fs-rom-0072520', '1.3.73', 'would'),
('fs-rom-0077700', '1.3.104', 'will'),
('fs-rom-0080930', '1.4.9', 'will'),
('fs-rom-0081410', '1.4.12', 'will'),
('fs-rom-0101870', '1.5.19', 'will'),
('fs-rom-0102140', '1.5.22', 'Will'),
('fs-rom-0103100', '1.5.28', 'would'),
('fs-rom-0105650', '1.5.42', 'will'),
('fs-rom-0106190', '1.5.46', 'Will'),
('fs-rom-0111210', '1.5.78', 'would'),
('fs-rom-0111750', '1.5.81', 'will'),
('fs-rom-0113290', '1.5.91', 'will'),
('fs-rom-0115140', '1.5.102', 'will'),
('fs-rom-0123170', '1.5.146', 'would'),
('fs-rom-0125920', '2.CHO.3', 'would'),
('fs-rom-0131760', '2.1.25', 'wilt'),
('fs-rom-0133620', '2.1.37', 'will'),
('fs-rom-0137660', '2.2.13', 'will'),
('fs-rom-0138720', '2.2.19', 'would'),
('fs-rom-0138960', '2.2.22', 'Would'),
('fs-rom-0139150', '2.2.23', 'would'),
('fs-rom-0141360', '2.2.38', 'wilt'),
('fs-rom-0142960', '2.2.47', 'would'),
('fs-rom-0143080', '2.2.48', 'would'),
('fs-rom-0144160', '2.2.55', 'will'),
('fs-rom-0145200', '2.2.62', 'would'),
('fs-rom-0147490', '2.2.75', 'will'),
('fs-rom-0148080', '2.2.79', 'would'),
('fs-rom-0150270', '2.2.91', 'would'),
('fs-rom-0150600', '2.2.93', 'would'),
('fs-rom-0151070', '2.2.95', 'wilt'),
('fs-rom-0151170', '2.2.96', 'will'),
('fs-rom-0152220', '2.2.102', 'wilt'),
('fs-rom-0154950', '2.2.119', 'wilt'),
('fs-rom-0157100', '2.2.132', 'wilt'),
('fs-rom-0157790', '2.2.136', 'would'),
('fs-rom-0157920', '2.2.137', 'Wouldst'),
('fs-rom-0159580', '2.2.145', 'will'),
('fs-rom-0161000', '2.2.153', 'wilt'),
('fs-rom-0162140', '2.2.162', 'will'),
('fs-rom-0163590', '2.2.172', 'would'),
('fs-rom-0164840', '2.2.183', 'will'),
('fs-rom-0166100', '2.2.190', 'would'),
('fs-rom-0166990', '2.2.196', 'would'),
('fs-rom-0167150', '2.2.197', 'would'),
('fs-rom-0167970', '2.2.203', 'Would'),
('fs-rom-0168190', '2.2.204', 'will'),
('fs-rom-0173290', '2.3.29', 'will'),
('fs-rom-0174500', '2.3.38', 'will'),
('fs-rom-0185450', '2.4.6', 'will'),
('fs-rom-0185980', '2.4.10', 'will'),
('fs-rom-0186290', '2.4.12', 'will'),
('fs-rom-0196930', '2.4.79', 'will'),
('fs-rom-0199940', '2.4.99', 'wouldst'),
('fs-rom-0200210', '2.4.100', 'would'),
('fs-rom-0203440', '2.4.122', 'will'),
('fs-rom-0204600', '2.4.131', 'will'),
('fs-rom-0206180', '2.4.142', 'will'),
('fs-rom-0206410', '2.4.144', 'will'),
('fs-rom-0207300', '2.4.150', 'will'),
('fs-rom-0207460', '2.4.150', 'will'),
('fs-rom-0210690', '2.4.167', 'will'),
('fs-rom-0212380', '2.4.177', 'will'),
('fs-rom-0212560', '2.4.178', 'will'),
('fs-rom-0212690', '2.4.179', 'wilt'),
('fs-rom-0212930', '2.4.181', 'will'),
('fs-rom-0217060', '2.4.204', 'would'),
('fs-rom-0219290', '2.4.215', 'would'),
('fs-rom-0221860', '2.5.13', 'would'),
('fs-rom-0222080', '2.5.14', 'would'),
('fs-rom-0224490', '2.5.28', 'would'),
