('fs-lr-0004900', '1.1.31', 'shall'),
('fs-lr-0005150', '1.1.33', 'shall'),
('fs-lr-0005780', '1.1.36', 'shall'),
('fs-lr-0005940', '1.1.37', 'shall'),
('fs-lr-0008610', '1.1.56', 'shall'),
('fs-lr-0010520', '1.1.68', 'shall'),
('fs-lr-0016730', '1.1.110', 'shall'),
('fs-lr-0016930', '1.1.111', 'shall'),
('fs-lr-0017200', '1.1.114', 'shall'),
('fs-lr-0019560', '1.1.131', 'shall'),
('fs-lr-0022180', '1.1.150', 'shall'),
('fs-lr-0022400', '1.1.151', 'shall'),
('fs-lr-0024440', '1.1.164', 'shall'),
('fs-lr-0029640', '1.1.203', 'shall'),
('fs-lr-0036510', '1.1.249', 'should'),
('fs-lr-0037470', '1.1.256', 'Should'),
('fs-lr-0042070', '1.1.289', 'shall'),
('fs-lr-0043080', '1.1.296', 'should'),
('fs-lr-0044520', '1.1.305', 'shall'),
('fs-lr-0047340', '1.1.325', 'shall'),
('fs-lr-0051520', '1.1.354', 'shall'),
('fs-lr-0052260', '1.2.2', 'should'),
('fs-lr-0055070', '1.2.22', 'Shall'),
('fs-lr-0057540', '1.2.37', 'shall'),
('fs-lr-0058500', '1.2.43', 'shall'),
('fs-lr-0060980', '1.2.56', 'should'),
('fs-lr-0061440', '1.2.59', 'should'),
('fs-lr-0064360', '1.2.77', 'should'),
('fs-lr-0065540', '1.2.84', 'shall'),
('fs-lr-0065960', '1.2.87', 'should'),
('fs-lr-0067500', '1.2.96', 'shall'),
('fs-lr-0069330', '1.2.107', 'shall'),
('fs-lr-0071740', '1.2.121', 'shall'),
('fs-lr-0074680', '1.2.138', 'should'),
('fs-lr-0076320', '1.2.148', 'should'),
('fs-lr-0081700', '1.2.185', 'Shall'),
('fs-lr-0084760', '1.3.11', 'shall'),
('fs-lr-0087390', '1.3.27', 'shall'),
('fs-lr-0089020', '1.4.8', 'Shall'),
('fs-lr-0094020', '1.4.41', 'shalt'),
('fs-lr-0107540', '1.4.130', 'shalt'),
('fs-lr-0111900', '1.4.161', 'shall'),
('fs-lr-0115140', '1.4.181', 'should'),
('fs-lr-0119150', '1.4.204', 'shall'),
