('fs-lr-0007300', '1.1.46', 'will'),
('fs-lr-0008300', '1.1.54', 'will'),
('fs-lr-0014860', '1.1.99', 'will'),
('fs-lr-0024250', '1.1.163', 'wouldst'),
('fs-lr-0029890', '1.1.204', 'wilt'),
('fs-lr-0032110', '1.1.218', 'Will'),
('fs-lr-0032660', '1.1.222', 'will'),
('fs-lr-0033960', '1.1.231', 'Will'),
('fs-lr-0035210', '1.1.240', 'would'),
('fs-lr-0040610', '1.1.277', 'Will'),
('fs-lr-0046380', '1.1.318', 'would'),
('fs-lr-0048310', '1.1.331', 'will'),
('fs-lr-0051420', '1.1.352', 'will'),
('fs-lr-0060840', '1.2.55', 'would'),
('fs-lr-0063150', '1.2.68', 'would'),
('fs-lr-0066300', '1.2.89', 'would'),
('fs-lr-0067410', '1.2.95', 'will'),
('fs-lr-0068910', '1.2.104', 'would'),
('fs-lr-0069110', '1.2.106', 'will'),
('fs-lr-0079440', '1.2.170', 'would'),
('fs-lr-0080270', '1.2.176', 'will'),
('fs-lr-0084410', '1.3.9', 'will'),
('fs-lr-0086030', '1.3.18', 'would'),
('fs-lr-0087240', '1.3.27', 'would'),
('fs-lr-0089940', '1.4.12', 'wouldst'),
('fs-lr-0090320', '1.4.15', 'will'),
('fs-lr-0091700', '1.4.23', 'wouldst'),
('fs-lr-0091800', '1.4.25', 'wouldst'),
('fs-lr-0092250', '1.4.29', 'would'),
('fs-lr-0094260', '1.4.42', 'will'),
('fs-lr-0096410', '1.4.55', 'would'),
('fs-lr-0096480', '1.4.56', 'would'),
('fs-lr-0098800', '1.4.71', 'will'),
('fs-lr-0099790', '1.4.76', 'would'),
('fs-lr-0102290', '1.4.91', 'will'),
('fs-lr-0104340', '1.4.104', '’lt'),
('fs-lr-0104850', '1.4.107', 'will'),
('fs-lr-0105170', '1.4.108', 'Would'),
('fs-lr-0108840', '1.4.139', 'will'),
('fs-lr-0109930', '1.4.149', 'Will'),
('fs-lr-0110910', '1.4.156', 'will'),
('fs-lr-0111140', '1.4.157', 'would'),
('fs-lr-0111330', '1.4.158', 'will'),
('fs-lr-0115570', '1.4.184', 'would'),
('fs-lr-0116220', '1.4.187', '’lt'),
('fs-lr-0116800', '1.4.190', 'would'),
('fs-lr-0118620', '1.4.200', 'will'),
('fs-lr-0120860', '1.4.215', 'Would'),
('fs-lr-0121470', '1.4.219', 'Will'),
('fs-lr-0122320', '1.4.225', 'would'),
('fs-lr-0122360', '1.4.225', 'would'),
('fs-lr-0124230', '1.4.238', 'would'),
('fs-lr-0124700', '1.4.242', 'will'),
('fs-lr-0126770', '1.4.255', 'will'),
('fs-lr-0128530', '1.4.269', 'will'),
('fs-lr-0139100', '1.4.338', 'would'),
('fs-lr-0144970', '1.5.6', 'will'),
('fs-lr-0146060', '1.5.14', 'will'),
('fs-lr-0146680', '1.5.18', 'will'),
('fs-lr-0148700', '1.5.32', 'will'),
('fs-lr-0149610', '1.5.38', 'wouldst'),
('fs-lr-0150830', '1.5.46', 'would'),
('fs-lr-0152440', '2.1.4', 'will'),
('fs-lr-0157650', '2.1.36', 'would'),
('fs-lr-0162280', '2.1.70', 'will'),
('fs-lr-0163400', '2.1.78', 'would'),
('fs-lr-0163490', '2.1.78', 'would'),
('fs-lr-0163960', '2.1.82', 'would'),
('fs-lr-0165010', '2.1.90', 'Would'),
('fs-lr-0165890', '2.1.96', 'will'),
('fs-lr-0168100', '2.1.109', 'would'),
('fs-lr-0175620', '2.2.9', 'would'),
('fs-lr-0176930', '2.2.19', 'wouldst'),
('fs-lr-0177620', '2.2.22', 'will'),
('fs-lr-0184560', '2.2.66', 'will'),
('fs-lr-0184670', '2.2.66', 'will'),
('fs-lr-0190140', '2.2.105', 'will'),
('fs-lr-0192200', '2.2.119', 'will'),
('fs-lr-0196600', '2.2.150', 'will'),
('fs-lr-0197430', '2.2.155', 'Will'),
('fs-lr-0199540', '2.2.169', 'Will'),
('fs-lr-0203570', '2.3.6', 'will'),
('fs-lr-0209020', '2.4.26', 'would'),
('fs-lr-0215230', '2.4.72', '’dst'),
('fs-lr-0217120', '2.4.82', 'would'),
('fs-lr-0217610', '2.4.86', 'Will'),
('fs-lr-0217900', '2.4.88', 'will'),
('fs-lr-0217990', '2.4.88', 'will'),
('fs-lr-0220770', '2.4.111', 'would'),
('fs-lr-0220900', '2.4.113', 'Would'),
('fs-lr-0222400', '2.4.123', 'will'),
('fs-lr-0224020', '2.4.134', 'would'),
('fs-lr-0226380', '2.4.146', 'would'),
('fs-lr-0227330', '2.4.152', '’lt'),
('fs-lr-0228260', '2.4.159', 'Would'),
('fs-lr-0232770', '2.4.190', 'will'),
('fs-lr-0235470', '2.4.209', 'would'),
