('fs-lr-0007490', '1.1.48', 'May'),
('fs-lr-0008850', '1.1.57', 'may'),
('fs-lr-0015730', '1.1.104', 'may'),
('fs-lr-0030630', '1.1.210', 'may'),
('fs-lr-0030770', '1.1.211', 'may'),
('fs-lr-0033630', '1.1.228', 'may'),
('fs-lr-0047640', '1.1.327', 'may'),
('fs-lr-0060710', '1.2.55', 'may'),
('fs-lr-0078700', '1.2.166', 'may'),
('fs-lr-0087450', '1.3.28', 'may'),
('fs-lr-0088310', '1.4.3', 'May'),
('fs-lr-0088850', '1.4.7', 'may'),
('fs-lr-0106240', '1.4.116', 'may'),
('fs-lr-0121170', '1.4.217', 'Might'),
('fs-lr-0122920', '1.4.229', 'May'),
('fs-lr-0127240', '1.4.258', 'may'),
('fs-lr-0131480', '1.4.288', 'may'),
('fs-lr-0132720', '1.4.296', 'may'),
('fs-lr-0133510', '1.4.301', 'may'),
('fs-lr-0140060', '1.4.346', 'may'),
('fs-lr-0140450', '1.4.348', 'may'),
('fs-lr-0142370', '1.4.361', 'may'),
('fs-lr-0143430', '1.4.368', 'may'),
('fs-lr-0147580', '1.5.23', 'may'),
('fs-lr-0153700', '2.1.13', 'may'),
('fs-lr-0166070', '2.1.97', 'May'),
('fs-lr-0174850', '2.2.4', 'may'),
('fs-lr-0198420', '2.2.162', 'may'),
('fs-lr-0200280', '2.2.172', 'may'),
('fs-lr-0201460', '2.2.179', 'may'),
('fs-lr-0203510', '2.3.5', 'may'),
('fs-lr-0209480', '2.4.30', 'might’st'),
('fs-lr-0246320', '2.4.278', 'might'),
('fs-lr-0257660', '2.4.350', 'may'),
('fs-lr-0259590', '3.1.7', 'might'),
('fs-lr-0283080', '3.3.3', 'might'),
('fs-lr-0293830', '3.4.40', 'may’st'),
('fs-lr-0319640', '3.5.3', 'may'),
('fs-lr-0322170', '3.5.20', 'may'),
('fs-lr-0339670', '3.6.105', 'might'),
('fs-lr-0347020', '3.7.27', 'may'),
('fs-lr-0347470', '3.7.30', 'May'),
('fs-lr-0365700', '4.1.17', 'may'),
('fs-lr-0366690', '4.1.24', 'Might'),
('fs-lr-0367770', '4.1.30', 'may'),
('fs-lr-0379890', '4.2.18', 'May'),
('fs-lr-0391480', '4.2.104', 'May'),
('fs-lr-0393100', '4.2.114', 'Might'),
('fs-lr-0407580', '4.4.32', 'may'),
('fs-lr-0408700', '4.5.8', 'might'),
('fs-lr-0410540', '4.5.20', 'may'),
('fs-lr-0410910', '4.5.22', 'Might'),
('fs-lr-0413160', '4.5.36', 'may'),
('fs-lr-0415920', '4.6.9', 'may'),
('fs-lr-0422430', '4.6.53', 'may'),
('fs-lr-0423250', '4.6.58', 'might'),
('fs-lr-0440260', '4.6.165', 'may'),
('fs-lr-0441500', '4.6.173', 'might’st'),
('fs-lr-0459440', '4.6.286', 'May'),
('fs-lr-0467720', '4.7.21', 'may'),
('fs-lr-0495860', '5.2.2', 'may'),
('fs-lr-0497050', '5.2.9', 'may'),
('fs-lr-0506570', '5.3.51', 'May'),
('fs-lr-0509480', '5.3.72', 'might'),
('fs-lr-0509980', '5.3.75', 'may'),
('fs-lr-0521010', '5.3.155', 'may'),
('fs-lr-0523910', '5.3.173', 'might'),
('fs-lr-0547270', '5.3.326', 'might'),
('fs-lr-0552500', '5.3.361', 'may'),
