('fs-rom-0002070', 'PRO.14', 'shall'),
('fs-rom-0002160', 'PRO.14', 'shall'),
('fs-rom-0002890', '1.1.2', 'should'),
('fs-rom-0004380', '1.1.12', 'shall'),
('fs-rom-0007140', '1.1.29', 'shall'),
('fs-rom-0016010', '1.1.82', 'shalt'),
('fs-rom-0018640', '1.1.99', 'shall'),
('fs-rom-0019000', '1.1.101', 'shall'),
('fs-rom-0025030', '1.1.138', 'Should'),
('fs-rom-0030590', '1.1.175', 'Should'),
('fs-rom-0030930', '1.1.177', 'Should'),
('fs-rom-0031110', '1.1.178', 'shall'),
('fs-rom-0035970', '1.1.208', 'shall'),
('fs-rom-0040670', '1.1.234', 'should'),
('fs-rom-0047640', '1.2.29', 'shall'),
('fs-rom-0048030', '1.2.31', 'shall'),
('fs-rom-0049600', '1.2.40', 'should'),
('fs-rom-0055280', '1.2.78', 'should'),
('fs-rom-0055670', '1.2.84', 'should'),
('fs-rom-0057260', '1.2.93', 'shall'),
('fs-rom-0059330', '1.2.106', 'shall'),
('fs-rom-0061700', '1.3.10', '’s'),
('fs-rom-0063260', '1.3.19', 'shall'),
('fs-rom-0064040', '1.3.23', 'shall'),
('fs-rom-0064140', '1.3.24', 'shall'),
('fs-rom-0064570', '1.3.26', 'shall'),
('fs-rom-0068360', '1.3.49', 'shall'),
('fs-rom-0068510', '1.3.50', 'should'),
('fs-rom-0068650', '1.3.51', 'should'),
('fs-rom-0069500', '1.3.56', 'should'),
('fs-rom-0074740', '1.3.86', 'shall'),
('fs-rom-0076740', '1.3.99', 'shall'),
('fs-rom-0079670', '1.4.1', 'shall'),
('fs-rom-0079850', '1.4.2', 'shall'),
('fs-rom-0083280', '1.4.23', 'should'),
('fs-rom-0084890', '1.4.32', 'shall'),
('fs-rom-0097040', '1.4.112', 'shall'),
('fs-rom-0097420', '1.4.115', 'Shall'),
('fs-rom-0099150', '1.5.4', 'shall'),
('fs-rom-0108720', '1.5.61', 'should'),
('fs-rom-0112480', '1.5.86', 'shall'),
('fs-rom-0112680', '1.5.87', 'shall'),
('fs-rom-0113050', '1.5.89', 'shall'),
('fs-rom-0115250', '1.5.102', 'shall'),
('fs-rom-0120120', '1.5.130', 'Shall'),
('fs-rom-0134820', '2.1.44', 'shall'),
('fs-rom-0141690', '2.2.40', 'Shall'),
('fs-rom-0141800', '2.2.40', 'shall'),
('fs-rom-0149940', '2.2.89', 'should'),
